designation,ra,ra_error,dec,dec_error,l,b
"Gaia DR2 3206773701620684288",79.81744667302328,0.4686337414245808,-8.118171743875676,0.4540106964715428,209.72728317470379,-24.157604158822057
"Gaia DR2 3206839702381378688",79.56176403395241,0.1550763359111172,-7.889280284088031,0.143930819087277,209.3794842794196,-24.283669539002688
"Gaia DR2 3206772254215111808",79.80561327520135,0.09980627396523269,-8.193558776975603,0.09558326596302277,209.79580955101017,-24.20133484022416
"Gaia DR2 3206755250441177344",80.03737391138918,0.07406775007211647,-8.289058196885694,0.07075333436216295,210.00033971294835,-24.03737639239308
"Gaia DR2 3206771670099559680",79.69636012230399,0.06979018739540883,-8.194006223547493,0.06500392608377012,209.74401644704812,-24.29861786770719
"Gaia DR2 3206771670099559808",79.6965669980183,0.21982056080151705,-8.192529811272866,0.20837310007632176,209.74266108972188,-24.297783740168505
"Gaia DR2 3206756075074898304",80.01980821789759,0.12536618146366849,-8.273652312627119,0.12117063833367693,209.97682025387027,-24.04621615752361
"Gaia DR2 3206839805460592768",79.50840576487306,0.10931468518480207,-7.894609789615968,0.10141837360623154,209.35906509654606,-24.333424370521445
"Gaia DR2 3206752776538288000",79.97155938798865,0.7066434663093604,-8.390580316805279,0.6583882098036876,210.0689083474359,-24.140472255298423
"Gaia DR2 3206756075074898560",80.01431217668649,0.03411673407940815,-8.269568978734867,0.03399514186370589,209.97018550716302,-24.049305611861143
"Gaia DR2 3206772808267487744",79.85091638912901,0.11338271502936484,-8.154237364647189,0.10783258370788146,209.77876539178723,-24.143756497412962
"Gaia DR2 3206756143794375552",80.0011676775598,0.048958985493106885,-8.260342450440623,0.04855186482663334,209.95484684516552,-24.056931003346648
"Gaia DR2 3206772533389580928",79.86271139329408,0.08845513029524446,-8.166715596262344,0.08309210516251825,209.79667761128533,-24.1387719062157
"Gaia DR2 3206768135343069440",79.95736767767622,0.035404336207780315,-8.249369034094036,0.03269397306750412,209.92317157427863,-24.09103282527351
"Gaia DR2 3206767138908928384",79.82063348049039,0.9661367222221846,-8.265270105109412,0.9059975816257626,209.8735850895836,-24.21954884857241
"Gaia DR2 3206769028694508672",79.834159287876,0.9451830482650262,-8.213586454633589,0.8613957619155544,209.829160615137,-24.1847848105737
"Gaia DR2 3206773598541471360",79.80280732115148,0.12668388103197292,-8.12580007123481,0.12188890405877785,209.7277859641687,-24.173975287503282
"Gaia DR2 3206772430310367104",79.86423076060404,0.064224964835077,-8.183093184499683,0.0604470359142185,209.81351632620485,-24.14463491801034
"Gaia DR2 3206839942899549824",79.52791540950886,0.34283379033998823,-7.875865836135554,0.3388328955816067,209.350005593169,-24.307799291195227
"Gaia DR2 3206772705188274560",79.83286349031866,0.02412439396358265,-8.157471686626288,0.022479179544978876,209.77331899212442,-24.16122394277155
"Gaia DR2 3206769097415746816",79.89577839960151,0.02470989135431894,-8.224569135103408,0.022593482870164806,209.8693891642994,-24.134857942249642
"Gaia DR2 3206768066623595648",79.92972508909635,0.048098822941034756,-8.254304637642749,0.044300784826400236,209.91484432317185,-24.117771476055616
"Gaia DR2 3206767585585496448",79.90918144173959,0.2694679155801602,-8.280786175600081,0.22554126999333046,209.9311073865857,-24.147676510003
"Gaia DR2 3206749581083386368",79.9600106474191,3.442820871996149,-8.439861564485303,4.141283737677898,210.11194626253462,-24.172364131130866
"Gaia DR2 3206769372293654016",79.87196064885266,0.031836658893285304,-8.204625837866274,0.03011835351469403,209.83839484337466,-24.147246533023022
"Gaia DR2 3206773873419379328",79.78037163107501,0.016710555326925922,-8.112984012772406,0.016072143191836516,209.7044427487859,-24.188261469115613
"Gaia DR2 3206773873419379456",79.78054999549059,0.1344571316417315,-8.11672708048761,0.128646388446277,209.70821111401548,-24.189753227512494
"Gaia DR2 3206765657145261312",79.80467481166656,0.3957990092907566,-8.341589182616149,0.32163992075830183,209.94114765801535,-24.26728662632487
"Gaia DR2 3206842657318881152",79.45900342438671,0.33198241515609533,-7.874164117234322,0.28638003470223855,209.315166547952,-24.368255873618917
"Gaia DR2 3206771670099562496",79.69316251161968,0.6144985872541804,-8.188565773842603,0.5626386318124754,209.73712785712866,-24.299062930944306
"Gaia DR2 3206768375861240064",79.9097164047614,0.05282990312796061,-8.226391939089938,0.04946033961058517,209.87783462180525,-24.123273132320424
"Gaia DR2 3206839942899549056",79.53033638648813,0.25276978789149224,-7.87943084642918,0.24587324704424668,209.35467804095978,-24.307226764577095
"Gaia DR2 3206772082416423552",79.82082128197096,0.37110615051039,-8.188364320170892,0.3466222271599074,209.79796399329211,-24.18553265402111
"Gaia DR2 3206772464670107392",79.83889604320316,0.07926049595954812,-8.17841385291839,0.07271736465611303,209.79680831477222,-24.16508814592157
"Gaia DR2 3206753429373363456",79.82125725081328,0.5695298404430824,-8.396378126682617,0.47760511670755706,210.00304596956886,-24.276613912027518
"Gaia DR2 3206842829117573504",79.48964902092821,0.15698542670233043,-7.8718369107618456,0.1404264677319414,209.32762733284142,-24.340005555685703
"Gaia DR2 3206842726038358016",79.45412760902315,0.4257121627605186,-7.8740845464439335,0.36489374374566397,209.31274088203705,-24.372551416531294
"Gaia DR2 3206768307141763584",79.92227948199871,0.11003162140594154,-8.240127802513868,0.1037321968914972,209.89734370442372,-24.11815199327349
"Gaia DR2 3206773422446259968",79.75967124383182,0.25529509126744193,-8.140418283263331,0.2356637947473981,209.7215369332628,-24.218748953586037
"Gaia DR2 3206773495462258560",79.80619666638609,0.1375825753794457,-8.149765341589978,0.1275623308737132,209.75298772171806,-24.18152536961952
"Gaia DR2 3206842897837050624",79.52627019569104,0.26952510223295334,-7.86997204810268,0.2775083204429713,209.34341502137787,-24.306651806572855
"Gaia DR2 3206765382267351552",79.82356685811814,0.11832575599027194,-8.350520180906063,0.09674360035782767,209.95895617454363,-24.254419883683944
"Gaia DR2 3206754391447730560",80.00542701896234,0.31289392205813776,-8.360955003825273,0.2882791092789342,210.05586406398703,-24.097360808513102
"Gaia DR2 3206842829117573632",79.48647264009743,0.296754822593531,-7.870869847201917,0.28096084395965853,209.32514678612148,-24.342398792316548
"Gaia DR2 3206768066623597568",79.91647975103916,0.022698854107066513,-8.254930853212159,0.02109170846456917,209.90914274168574,-24.12981875876812
"Gaia DR2 3206768959975033216",79.84409312037329,0.3760086876064534,-8.223701285973055,0.34716637247054616,209.8438605673907,-24.18040902637857
"Gaia DR2 3206750852393382272",80.12720996279643,0.4358410693882052,-8.365059541736294,0.43043854160337613,210.1178333955622,-23.990911287542666
"Gaia DR2 3206769372293654656",79.86938623413883,0.021254305348360432,-8.208018654481913,0.02004741226519987,209.84050407294646,-24.15102800813654
"Gaia DR2 3206754666325638272",79.97468041423701,0.053474811205082504,-8.337083200695288,0.050383161455678796,210.01773100791155,-24.11420471036989
"Gaia DR2 3206842863477313152",79.50134663711857,0.43476659186555405,-7.8641363577376975,0.4162540238299009,209.3256792672997,-24.326206355652882
"Gaia DR2 3206772219855378944",79.7802519284682,0.1977925466163121,-8.184912061878956,0.19300892124595473,209.77517643988813,-24.22006409131084
"Gaia DR2 3206843035276005632",79.47050067826044,0.22889313729849142,-7.8622927261878255,0.21468530282098716,209.30901677035007,-24.352788025312766
"Gaia DR2 3206772361590894336",79.81118785006394,0.09066838141551717,-8.166487457952423,0.08297356896974602,209.77182967418892,-24.184457568766096
"Gaia DR2 3206826375099429632",79.62381610435251,0.054077385856443144,-7.98072462299448,0.04645825926804697,209.49927106141317,-24.26898201508131
"Gaia DR2 3206772739548016128",79.80740150142186,0.03086707786946037,-8.159778135717408,0.02988573330486444,209.76341696690957,-24.18486643123444
"Gaia DR2 3206839637958436736",79.56849362453727,0.156118716868911,-7.894101398637376,0.14442437658202228,209.38746314574541,-24.279825047395033
"Gaia DR2 3206755559678836480",79.94178488863425,0.10318183266755244,-8.311311022120638,0.09881427132335334,209.9766939769207,-24.13211827802296
"Gaia DR2 3206772052351488768",79.81272717439356,0.6884989290778076,-8.203864542650871,0.6143794573692548,209.80935313182601,-24.199550904458683
"Gaia DR2 3206773392383045632",79.77864132626641,0.10071223233515351,-8.139281730778228,0.08659153569221242,209.7294929845498,-24.201391320078997
"Gaia DR2 3206756281233334400",79.95099200405332,0.0414438640562501,-8.263098492183625,0.04015462097709998,209.93363851421978,-24.102738146994955
